Bus Route Name,Stoppage Name,Road / Corridor Location,Road Alignment Direction,Latitude,Longitude,Full Route Duration (Avg Traffic)
AC-12,Shapoorji Bus Terminus,Action Area III Main Road, New Town,Westbound,22.565812,88.498421,95 – 115 mins
AC-12,Sukhobristi Gate 1,Action Area III Arterial Road,Westbound,22.567345,88.491280,95 – 115 mins
AC-12,Unitech (Infospace),"Major Arterial Road (MAR), Action Area II",Northwestbound,22.576214,88.477651,95 – 115 mins
AC-12,Narkelbagan (Biswa Bangla Gate),"Major Arterial Road (MAR), Action Area I",Southbound,22.584627,88.459341,95 – 115 mins
AC-12,New Town Bus Stand (DLF 1),"Major Arterial Road (MAR), New Town",Southwestbound,22.580124,88.452816,95 – 115 mins
AC-12,Technopolis Bus Stop,"Street No. 18 / Ring Road, Sector V",Southbound,22.580436,88.437295,95 – 115 mins
AC-12,College More,"Major Arterial Road, Sector V",Westbound,22.573516,88.433465,95 – 115 mins
AC-12,SDF Building,"GP Block, Sector V, Salt Lake",Westbound,22.571420,88.431248,95 – 115 mins
AC-12,Swasthya Bhawan,"GN Block, Sector V",Westbound,22.571182,88.425310,95 – 115 mins
AC-12,Nicco Park,"HM Block, Salt Lake Bypass",Southbound,22.568415,88.418723,95 – 115 mins
AC-12,Sukanta Nagar,Salt Lake Bypass Connector,Southbound,22.561240,88.409852,95 – 115 mins
AC-12,Chingrighata Crossing,Eastern Metropolitan (EM) Bypass,Southbound,22.555812,88.401249,95 – 115 mins
AC-12,Metropolitan Crossing,Eastern Metropolitan (EM) Bypass,Southbound,22.548914,88.399580,95 – 115 mins
AC-12,Beliaghata / Mathpukur,Eastern Metropolitan (EM) Bypass,Southbound,22.544120,88.397645,95 – 115 mins
AC-12,Science City,J.B.S. Haldane Avenue,Westbound,22.539281,88.393412,95 – 115 mins
AC-12,Topsia Crossing,Park Circus Connector,Westbound,22.539650,88.384210,95 – 115 mins
AC-12,Bridge No. 4,Park Circus Connector,Westbound,22.539912,88.374630,95 – 115 mins
AC-12,Park Circus 7-Point,Shakespeare Sarani / Suhrawardy Ave,Westbound,22.543265,88.365418,95 – 115 mins
AC-12,Beck Bagan (Quest Mall),Syed Amir Ali Avenue,Westbound,22.539871,88.361240,95 – 115 mins
AC-12,Minto Park (Kalamandir),"AJC Bose Road, Elgin",Westbound,22.541315,88.355124,95 – 115 mins
AC-12,Exide Crossing (Rabindra Sadan),AJC Bose Road / Ashutosh Mukherjee Rd,Westbound,22.539824,88.344682,95 – 115 mins
AC-12,Birla Planetarium / Maidan,Cathedral Road / Jawaharlal Nehru Rd,Northbound,22.546115,88.347890,95 – 115 mins
AC-12,Park Street Crossing,Jawaharlal Nehru Road,Northbound,22.552840,88.351210,95 – 115 mins
AC-12,Esplanade / Dorina Crossing,Chowringhee Road,Northbound,22.564735,88.351420,95 – 115 mins
AC-12,B.B.D. Bagh (Lal Dighi),B.B.D. Bagh North,Northbound,22.571890,88.348612,95 – 115 mins
AC-12,Tea Board / Brabourne Road,Brabourne Road,Northbound,22.577620,88.349140,95 – 115 mins
AC-12,Burrabazar / Canning Street,Brabourne Road,Northbound,22.583115,88.348230,95 – 115 mins
AC-12,Howrah Long Route Bus Stand,Station Road / Howrah Bridge Approach,Westbound,22.584180,88.342915,95 – 115 mins
AC-12D,Joka Depot And Terminus,"Diamond Harbour Road (NH 12), Joka",Northbound,22.441154,88.303120,80 – 100 mins
AC-12D,Thakurpukur 3A Bus Stand,Diamond Harbour Road (NH 12),Northbound,22.464871,88.308742,80 – 100 mins
AC-12D,Shilpara,"Diamond Harbour Road (NH 12), Barisha",Northbound,22.476124,88.310651,80 – 100 mins
AC-12D,Sakher Bazar,"Diamond Harbour Road (NH 12), Behala",Northbound,22.481230,88.312185,80 – 100 mins
AC-12D,Behala Chowrasta,"Diamond Harbour Road (NH 12), Behala",Northbound,22.486842,88.313590,80 – 100 mins
AC-12D,Behala Manton,"Diamond Harbour Road (NH 12), Behala",Northbound,22.492518,88.315622,80 – 100 mins
AC-12D,Behala Tram Depot,"Diamond Harbour Road (NH 12), Behala",Northbound,22.498842,88.318357,80 – 100 mins
AC-12D,Behala 14 No.,"Diamond Harbour Road (NH 12), Behala",Northbound,22.506190,88.320485,80 – 100 mins
AC-12D,Taratala Crossing,"Diamond Harbour Road (NH 12), Taratala",Northbound,22.513410,88.321890,80 – 100 mins
AC-12D,Majherhat / Mint,"Diamond Harbour Road, Majherhat",Northbound,22.520845,88.323612,80 – 100 mins
AC-12D,Mominpore,"Diamond Harbour Road, Mominpur",Northbound,22.529815,88.325982,80 – 100 mins
AC-12D,Ekbalpur Crossing,"Diamond Harbour Road, Ekbalpur",Northbound,22.535120,88.327415,80 – 100 mins
AC-12D,Khidirpur More / Babubazar,Diamond Harbour Road,Northbound,22.540825,88.329840,80 – 100 mins
AC-12D,Hastings / Race Course,Casuarina Avenue / St. Georges Gate,Northbound,22.546312,88.334650,80 – 100 mins
AC-12D,P.T.S. (Police Training School),"AJC Bose Road, Race Course",Eastbound,22.541480,88.339120,80 – 100 mins
AC-12D,Rabindra Sadan / Exide,AJC Bose Road / Ashutosh Mukherjee Rd,Eastbound,22.539824,88.344682,80 – 100 mins
AC-12D,Maidan Metro / Planetarium,Jawaharlal Nehru Road,Northbound,22.546115,88.347890,80 – 100 mins
AC-12D,Park Street Crossing,Jawaharlal Nehru Road,Northbound,22.552840,88.351210,80 – 100 mins
AC-12D,Esplanade / Dorina Crossing,Chowringhee Road,Northbound,22.564735,88.351420,80 – 100 mins
AC-12D,B.B.D. Bagh (Lal Dighi),B.B.D. Bagh North,Northbound,22.571890,88.348612,80 – 100 mins
AC-12D,Brabourne Road / Canning St,"Brabourne Road, Burrabazar",Northbound,22.581240,88.348710,80 – 100 mins
AC-12D,Howrah Long Route Bus Stand,Station Road / Howrah Bridge Approach,Westbound,22.584180,88.342915,80 – 100 mins
AC-14,Karunamoyee Bus Terminal Bidhannagar,"Central Park / 7th Cross Road, Salt Lake",Southbound,22.586714,88.419632,110 – 130 mins
AC-14,Central Park / Bikash Bhawan,7th Cross Road / Broadway Connector,Southbound,22.583152,88.414720,110 – 130 mins
AC-14,Labony / GD Island,"Sector III Main Road, Salt Lake",Southbound,22.576824,88.411540,110 – 130 mins
AC-14,Salt Lake Stadium (Gate 3),"Broadway Road, Salt Lake",Southbound,22.569812,88.406815,110 – 130 mins
AC-14,Chingrighata Crossing,Eastern Metropolitan (EM) Bypass,Southbound,22.555812,88.401249,110 – 130 mins
AC-14,Metropolitan Crossing,Eastern Metropolitan (EM) Bypass,Southbound,22.548914,88.399580,110 – 130 mins
AC-14,Mathpukur / Beliaghata More,Eastern Metropolitan (EM) Bypass,Southbound,22.544120,88.397645,110 – 130 mins
AC-14,Science City Crossing,Eastern Metropolitan (EM) Bypass,Southbound,22.539281,88.396510,110 – 130 mins
AC-14,Topsia VIP Bazar,Eastern Metropolitan (EM) Bypass,Southbound,22.529640,88.397825,110 – 130 mins
AC-14,Ruby General Hospital Crossing,Eastern Metropolitan (EM) Bypass,Southbound,22.513271,88.402128,110 – 130 mins
AC-14,Kalikapur Crossing,Eastern Metropolitan (EM) Bypass,Southbound,22.502845,88.400115,110 – 130 mins
AC-14,Mukundapur Crossing,Eastern Metropolitan (EM) Bypass,Southbound,22.493218,88.397940,110 – 130 mins
AC-14,Ajay Nagar / Hiland Park,Eastern Metropolitan (EM) Bypass,Southbound,22.483652,88.394812,110 – 130 mins
AC-14,Peerless Hospital Crossing,EM Bypass Connector / New Garia Link,Southbound,22.476410,88.392650,110 – 130 mins
AC-14,Dhalai Bridge,EM Bypass Extension / Patuli Link,Southbound,22.468245,88.388710,110 – 130 mins
AC-14,Kamalgazi More,NSC Bose Road / Baruipur Highway,Southbound,22.441830,88.386240,110 – 130 mins
AC-14,Narendrapur (RKM),"NSC Bose Road, Narendrapur",Southbound,22.435124,88.389420,110 – 130 mins
